configuration,target_tokens,overlap_tokens,hard_ceiling,total_chunks,timestamp,rag_recall_at_1,rag_recall_at_3,rag_recall_at_5,rag_recall_at_10,rag_mrr,rag_ndcg_at_10,rag_adj_recall_at_1,rag_adj_recall_at_3,rag_adj_recall_at_5,rag_adj_recall_at_10,rag_adj_mrr,rag_rouge1_f,rag_rouge2_f,rag_rougeL_f,rag_avg_prompt_tokens,rag_avg_completion_tokens,rag_avg_total_tokens,rag_total_cost,reranked_rag_recall_at_1,reranked_rag_recall_at_3,reranked_rag_recall_at_5,reranked_rag_recall_at_10,reranked_rag_mrr,reranked_rag_ndcg_at_10,reranked_rag_adj_recall_at_1,reranked_rag_adj_recall_at_3,reranked_rag_adj_recall_at_5,reranked_rag_adj_recall_at_10,reranked_rag_adj_mrr,reranked_rag_rouge1_f,reranked_rag_rouge2_f,reranked_rag_rougeL_f,reranked_rag_avg_prompt_tokens,reranked_rag_avg_completion_tokens,reranked_rag_avg_total_tokens,reranked_rag_total_cost,ensemble_rerank_rag_recall_at_1,ensemble_rerank_rag_recall_at_3,ensemble_rerank_rag_recall_at_5,ensemble_rerank_rag_recall_at_10,ensemble_rerank_rag_mrr,ensemble_rerank_rag_ndcg_at_10,ensemble_rerank_rag_adj_recall_at_1,ensemble_rerank_rag_adj_recall_at_3,ensemble_rerank_rag_adj_recall_at_5,ensemble_rerank_rag_adj_recall_at_10,ensemble_rerank_rag_adj_mrr,ensemble_rerank_rag_rouge1_f,ensemble_rerank_rag_rouge2_f,ensemble_rerank_rag_rougeL_f,ensemble_rerank_rag_avg_prompt_tokens,ensemble_rerank_rag_avg_completion_tokens,ensemble_rerank_rag_avg_total_tokens,ensemble_rerank_rag_total_cost
XLarge_750_150_1000,750,150,1000,4924,20250620_182003,0.04,0.04,0.04,0.06,0.04285714285714286,0.04666666666666667,0.04,0.04,0.04,0.06,0.04285714285714286,0.11833721964584001,0.07010255081086358,0.10131961860948963,428.72,10.04,438.76,0.0035916,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1391275404581598,0.08294308276026943,0.12442007724146392,377.4,11.52,388.92,0.0032511,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.20237921181318905,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.1421476782176418,0.08956297766006976,0.12232839234513784,2912.230769230769,52.0,2964.230769230769,0.023476730769230764
Large_500_100_800,500,100,800,7438,20250620_165509,0.16,0.16,0.16,0.18,0.16285714285714284,0.16666666666666663,0.16,0.16,0.16,0.18,0.16285714285714284,0.36492063319209267,0.2475676107035442,0.32288460564491134,1317.36,46.38,1363.74,0.011346599999999998,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.39813982650760843,0.272741195021128,0.35547843141430535,1274.7,48.16,1322.86,0.01108005,0.16,0.18,0.18,0.18,0.17,0.17261859507142915,0.16,0.18,0.18,0.18,0.17,0.4581707599181199,0.33950515372146084,0.41301802561942524,1978.34,54.78,2033.12,0.01655595
Medium_350_100_800,350,100,800,12654,20250620_160551,0.12,0.12,0.12,0.14,0.12285714285714285,0.12666666666666665,0.12,0.12,0.12,0.14,0.12285714285714285,0.37613011171564603,0.2580383210417971,0.33444396304412133,1371.96,48.14,1420.1,0.011808899999999999,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.39927332170894153,0.27386519098572637,0.34941326284986857,1295.64,49.96,1345.6,0.0112911,0.12,0.14,0.14,0.14,0.13,0.13261859507142915,0.12,0.14,0.14,0.14,0.13,0.46416839400330223,0.34826352141192596,0.4238623489573213,1549.34,55.26,1604.6,0.01335285
Small_150_50_500,150,50,500,42480,20250620_142804,0.26,0.42,0.44,0.5,0.3511904761904762,0.38785865081245946,0.28,0.42,0.45,0.51,0.3536904761904762,0.40145226238895076,0.27669624974717255,0.3543044662275663,1466.06,49.18,1515.24,0.01254585,0.32,0.52,0.54,0.54,0.41833333333333333,0.44956229173290113,0.37,0.53,0.57,0.57,0.4328333333333333,0.41909771089599185,0.29462679812286685,0.3726751000532966,1437.02,49.74,1486.76,0.01234485,0.2857142857142857,0.4897959183673469,0.4897959183673469,0.5102040816326531,0.38046647230320696,0.41326207363945994,0.336734693877551,0.5,0.5102040816326531,0.5306122448979592,0.3916909620991253,0.46382792048854954,0.35692104681330455,0.42821474924793534,934.0,53.59183673469388,987.5918367346939,0.008687755102040817
