scenario,rouge1_f,rouge2_f,rougeL_f,recall_at_1,recall_at_3,recall_at_5,recall_at_7,recall_at_10,mrr,ndcg_at_10,adj_recall_at_1,adj_recall_at_3,adj_recall_at_5,adj_recall_at_7,adj_recall_at_10,adj_mrr,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,total_cost,cost_per_question
rag,0.1320625693270455,0.07782408229635358,0.1144527212740989,0.0033333333333333335,0.01,0.013333333333333334,0.013333333333333334,0.023333333333333334,0.007861111111111112,0.011371256967425013,0.0033333333333333335,0.01,0.013333333333333334,0.013333333333333334,0.023333333333333334,0.007861111111111112,483.7866666666667,14.08,497.8666666666667,0.024754799999999997,8.2516e-05
reranked_rag,0.15354109945806654,0.09891121407980684,0.13909625250091306,0.013333333333333334,0.016666666666666666,0.02666666666666667,0.03333333333333333,0.03333333333333333,0.018531746031746035,0.022041666494109973,0.013333333333333334,0.016666666666666666,0.02666666666666667,0.03333333333333333,0.03333333333333333,0.018531746031746035,471.0,14.923333333333334,485.92333333333335,0.024331199999999997,8.110399999999999e-05
ensemble_rerank_rag,0.15622361217574063,0.10970602407591741,0.14157860952040424,0.044444444444444446,0.06666666666666667,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.06212121212121212,0.06803569581433001,0.044444444444444446,0.06666666666666667,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.06212121212121212,2885.4333333333334,55.3,2940.733333333333,0.04238955,0.0001412985
unfiltered,0.485777033004694,0.38000395252959607,0.44297137413877163,,,,,,,,,,,,,,53060.776666666665,49.17,53109.94666666666,2.39658555,0.007988618500000001
web_search,0.2125018563581377,0.12479436686226823,0.1725459560069129,,,,,,,,,,,,,,214.14333333333335,171.36,385.50333333333333,8.29048125,0.027634937499999998
baseline,0.2579083779868637,0.11996428051768952,0.19344162054413686,,,,,,,,,,,,,,233.14333333333335,59.75,292.8933333333333,0.02124645,7.08215e-05
